age,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,attention_span_score,focus_level,task_completion_rate,screen_time_severity,wellness_score,productivity_index,high_screen_time_flag,poor_sleep_flag,reels_to_screen_ratio,stress_level_encoded,gender_Female,gender_Male,gender_Non-Binary,gender_Other,location_Rural,location_Suburban,location_Urban,platform_Instagram Reels,platform_TikTok,platform_YouTube Shorts,age_norm,reels_watch_time_hours_norm,daily_screen_time_hours_norm,scrolling_sessions_day_norm,notifications_per_day_norm,sleep_hours_norm,physical_activity_hours_week_norm,attention_span_score_norm,focus_level_norm,task_completion_rate_norm
29,3.46,10.64,9,30,8.1,6.5,7.9,6.35,51.8,0.5472,0.7354,0.7107,1,0,0.3252,2,1,0,0,0,0,0,1,0,1,0,0.4828,0.4555,0.6171,0.4211,0.3571,0.6679,0.7273,0.6376,0.6018,0.6314
17,4.38,10.95,13,54,7.26,5.9,6.74,3.4,24.2,0.6458,0.5964,0.4545,1,0,0.4,3,0,1,0,0,0,1,0,1,0,0,0.069,0.5881,0.6393,0.6316,0.6429,0.5112,0.6591,0.4374,0.2459,0.2145
22,2.91,6.71,7,19,6.68,4.7,6.73,3.72,23.6,0.3986,0.6536,0.4634,0,0,0.4337,2,0,1,0,0,0,0,1,1,0,0,0.2414,0.3762,0.3364,0.3158,0.2262,0.403,0.5227,0.4357,0.2845,0.2054
19,5.03,10.45,12,47,5.44,3.8,6.08,4.85,35.3,0.6592,0.4743,0.5277,1,1,0.4813,3,0,1,0,0,0,1,0,0,1,0,0.1379,0.6818,0.6036,0.5789,0.5595,0.1716,0.4205,0.3236,0.4208,0.3822
19,3.47,8.36,10,55,7.1,2.6,8.04,4.57,49.1,0.5008,0.4573,0.6404,1,0,0.4151,2,1,0,0,0,0,0,1,1,0,0,0.1379,0.4569,0.4543,0.4737,0.6548,0.4813,0.2841,0.6618,0.3871,0.5906
32,2.62,6.18,7,15,8.19,5.9,8.83,8.04,60.9,0.3693,0.7686,0.8404,0,0,0.4239,1,1,0,0,0,0,0,1,1,0,0,0.5862,0.3344,0.2986,0.3158,0.1786,0.6847,0.6591,0.7981,0.8056,0.7689
20,3.18,7.25,12,58,8.65,4.6,7.06,4.53,46.3,0.477,0.5802,0.5937,0,0,0.4386,1,0,1,0,0,0,0,1,1,0,0,0.1724,0.4151,0.375,0.5789,0.6905,0.7705,0.5114,0.4927,0.3822,0.5483
35,1.88,7.25,5,22,8.57,1.1,9.51,7.33,48.4,0.3352,0.5683,0.7892,0,0,0.2593,1,0,1,0,0,0,0,1,0,0,1,0.6897,0.2277,0.375,0.2105,0.2619,0.7556,0.1136,0.9154,0.72,0.5801
21,4.09,10.54,7,34,6.15,4.2,7.26,5.21,22.1,0.5595,0.5616,0.53,1,0,0.388,3,1,0,0,0,0,1,0,1,0,0,0.2069,0.5463,0.61,0.3158,0.4048,0.3041,0.4659,0.5272,0.4643,0.1828
17,4.4,11.43,9,32,7.43,3.3,5.52,2.85,22.8,0.6189,0.5787,0.3863,1,0,0.385,3,1,0,0,0,0,0,1,0,1,0,0.069,0.591,0.6736,0.4211,0.381,0.5429,0.3636,0.2269,0.1796,0.1934
37,0.64,4.6,1,10,7.94,5.9,10.0,9.01,65.7,0.1604,0.7776,0.9354,0,0,0.1391,1,0,1,0,0,0,1,0,0,0,1,0.7586,0.049,0.1857,0.0,0.119,0.6381,0.6591,1.0,0.9226,0.8414
27,3.5,9.19,10,51,6.9,4.3,9.18,6.24,45.2,0.5232,0.5314,0.7255,1,0,0.3808,2,0,1,0,0,0,0,1,1,0,0,0.4138,0.4613,0.5136,0.4737,0.6071,0.444,0.4773,0.8585,0.5885,0.5317
28,1.59,4.68,3,23,7.23,5.3,6.42,4.62,28.8,0.2349,0.6824,0.5056,0,0,0.3397,3,0,1,0,0,1,0,0,0,0,1,0.4483,0.1859,0.1914,0.1053,0.2738,0.5056,0.5909,0.3822,0.3931,0.284
15,2.53,9.8,6,28,7.49,1.3,7.34,6.5,53.4,0.4448,0.5165,0.7029,1,0,0.2582,1,1,0,0,0,0,0,1,1,0,0,0.0,0.3214,0.5571,0.2632,0.3333,0.5541,0.1364,0.541,0.6199,0.6556
27,3.4,7.67,7,34,8.58,5.5,8.68,5.97,45.1,0.4497,0.6988,0.6979,0,0,0.4433,2,1,0,0,0,0,0,1,0,0,1,0.4138,0.4468,0.405,0.3158,0.4048,0.7575,0.6136,0.7722,0.5559,0.5302
19,7.11,16.0,19,84,5.99,0.10000000000000009,6.21,4.1,23.3,0.983,0.2161,0.4578,1,1,0.4444,3,1,0,0,0,0,0,1,0,1,0,0.1379,0.9816,1.0,0.9474,1.0,0.2743,0.0,0.346,0.3304,0.2009
25,2.77,6.82,7,39,7.22,4.4,8.78,8.21,56.1,0.3936,0.5895,0.8259,0,0,0.4062,1,1,0,0,0,0,0,1,0,1,0,0.3448,0.356,0.3443,0.3158,0.4643,0.5037,0.4886,0.7895,0.8261,0.6964
43,1.85,7.11,5,15,6.93,5.6,7.82,7.01,51.4,0.33,0.7121,0.7303,0,0,0.2602,2,0,1,0,0,0,0,1,0,0,1,0.9655,0.2234,0.365,0.2105,0.1786,0.4496,0.625,0.6238,0.6814,0.6254
19,5.32,10.93,16,52,7.45,3.7,6.65,4.96,31.6,0.7273,0.5237,0.537,1,0,0.4867,3,1,0,0,0,0,0,1,0,1,0,0.1379,0.7236,0.6379,0.7895,0.619,0.5466,0.4091,0.4219,0.4341,0.3263
29,4.16,11.95,6,20,7.0,4.8,6.42,4.51,30.4,0.5887,0.6653,0.5079,1,0,0.3481,2,0,0,0,1,0,0,1,0,1,0,0.4828,0.5564,0.7107,0.2632,0.2381,0.4627,0.5341,0.3822,0.3798,0.3082
34,2.5,9.42,7,34,5.24,4.4,8.0,4.57,30.1,0.4437,0.5372,0.5642,1,1,0.2654,3,1,0,0,0,0,0,1,0,0,1,0.6552,0.3171,0.53,0.3158,0.4048,0.1343,0.4886,0.6549,0.3871,0.3036
17,4.49,12.96,12,47,7.3,2.0,6.28,3.68,16.8,0.6922,0.4694,0.4194,1,0,0.3465,3,1,0,0,0,0,0,1,1,0,0,0.069,0.604,0.7829,0.5789,0.5595,0.5187,0.2159,0.3581,0.2797,0.1027
28,2.88,9.9,7,23,9.68,4.5,7.6,5.98,51.3,0.4767,0.7377,0.6848,1,0,0.2909,1,0,1,0,0,0,0,1,1,0,0,0.4483,0.3719,0.5643,0.3158,0.2738,0.9627,0.5,0.5858,0.5571,0.6239
25,2.81,7.07,5,43,7.42,3.1,10.0,7.05,64.7,0.3821,0.5312,0.8604,0,0,0.3975,2,0,1,0,0,0,0,1,0,1,0,0.3448,0.3618,0.3621,0.2105,0.5119,0.541,0.3409,1.0,0.6862,0.8263
27,3.05,5.87,5,15,7.2,3.5,7.52,7.07,43.7,0.3653,0.6391,0.6916,0,0,0.5196,2,1,0,0,0,0,0,1,1,0,0,0.4138,0.3964,0.2764,0.2105,0.1786,0.5,0.3864,0.572,0.6886,0.5091
36,2.84,8.52,7,33,7.93,5.9,10.0,7.29,49.1,0.44,0.6951,0.8077,1,0,0.3333,1,1,0,0,0,0,1,0,0,0,1,0.7241,0.3661,0.4657,0.3158,0.3929,0.6362,0.6591,1.0,0.7152,0.5906
33,0.77,5.16,2,0,7.21,4.2,9.11,5.73,61.1,0.1916,0.7206,0.7672,0,0,0.1492,1,1,0,0,0,0,1,0,0,0,1,0.6207,0.0677,0.2257,0.0526,0.0,0.5019,0.4659,0.8464,0.527,0.7719
42,2.16,3.06,6,19,6.53,3.3,7.41,5.77,46.0,0.2559,0.5932,0.6497,0,0,0.7059,1,1,0,0,0,0,1,0,1,0,0,0.931,0.2681,0.0757,0.2632,0.2262,0.375,0.3636,0.5531,0.5318,0.5438
21,3.32,10.47,9,27,7.6,2.7,8.05,7.59,55.1,0.5352,0.579,0.7739,1,0,0.3171,1,1,0,0,0,0,0,1,0,0,1,0.2069,0.4353,0.605,0.4211,0.3214,0.5746,0.2955,0.6635,0.7514,0.6813
23,4.94,10.44,17,71,7.59,3.6,8.65,6.34,49.6,0.704,0.4569,0.7279,1,0,0.4732,3,1,0,0,0,0,1,0,0,1,0,0.2759,0.6688,0.6029,0.8421,0.8452,0.5728,0.3977,0.767,0.6006,0.5982
28,2.89,9.23,8,22,6.31,5.6,7.78,6.32,51.7,0.4705,0.6652,0.705,1,0,0.3131,2,0,1,0,0,0,0,1,1,0,0,0.4483,0.3733,0.5164,0.3684,0.2619,0.334,0.625,0.6169,0.5982,0.6299
40,0.4,2.66,2,0,9.15,6.1,10.0,7.41,56.7,0.1086,0.864,0.842,0,0,0.1504,1,0,1,0,0,0,0,1,0,0,1,0.8621,0.0144,0.0471,0.0526,0.0,0.8638,0.6818,1.0,0.7296,0.7054
17,3.7,6.6,10,16,6.46,5.9,8.69,5.16,40.9,0.4695,0.7037,0.6523,0,0,0.5606,2,0,0,1,0,0,0,1,0,1,0,0.069,0.4901,0.3286,0.4737,0.1905,0.3619,0.6591,0.7739,0.4582,0.4668
15,4.99,8.88,16,63,4.82,5.4,8.46,5.33,30.9,0.6578,0.4581,0.611,1,1,0.5619,3,1,0,0,0,0,0,1,1,0,0,0.0,0.676,0.4914,0.7895,0.75,0.056,0.6023,0.7343,0.4787,0.3157
27,2.23,8.75,8,15,6.05,4.5,7.46,3.88,35.5,0.422,0.6377,0.5416,1,0,0.2549,2,1,0,0,0,0,0,1,0,0,1,0.4138,0.2782,0.4821,0.3684,0.1786,0.2854,0.5,0.5617,0.3038,0.3852
15,4.28,10.16,10,35,6.91,2.6,7.99,6.06,39.7,0.5905,0.522,0.6557,1,0,0.4213,2,1,0,0,0,1,0,0,0,0,1,0.0,0.5737,0.5829,0.4737,0.4167,0.4459,0.2841,0.6531,0.5668,0.4486
18,5.7,12.1,15,74,5.66,4.1,5.34,2.4,10.0,0.7675,0.3975,0.3133,1,1,0.4711,3,1,0,0,0,1,0,0,0,1,0,0.1034,0.7784,0.7214,0.7368,0.881,0.2127,0.4545,0.1959,0.1253,0.0
41,0.72,2.0,1,0,6.87,6.3,7.36,6.04,33.6,0.0998,0.7911,0.6089,0,0,0.36,1,0,1,0,0,0,0,1,0,0,1,0.8966,0.0605,0.0,0.0,0.0,0.4384,0.7045,0.5444,0.5644,0.3565
37,0.92,6.44,2,5,8.91,5.9,9.83,7.94,63.0,0.2318,0.8298,0.88,0,0,0.1429,1,1,0,0,0,0,1,0,1,0,0,0.7586,0.0894,0.3171,0.0526,0.0595,0.819,0.6591,0.9707,0.7936,0.8006
21,4.64,12.44,11,44,4.65,3.0,6.77,2.91,28.7,0.6774,0.4256,0.4555,1,1,0.373,3,0,1,0,0,0,1,0,0,1,0,0.2069,0.6256,0.7457,0.5263,0.5238,0.0243,0.3295,0.4426,0.1868,0.2825
30,4.97,8.65,12,49,6.71,3.8,6.28,6.14,48.5,0.6109,0.5121,0.6334,1,0,0.5746,3,1,0,0,0,0,0,1,1,0,0,0.5172,0.6732,0.475,0.5789,0.5833,0.4086,0.4205,0.3581,0.5764,0.5816
30,2.51,7.63,7,32,6.64,5.4,8.02,6.54,57.0,0.3995,0.6333,0.7423,0,0,0.329,2,0,1,0,0,0,1,0,1,0,0,0.5172,0.3186,0.4021,0.3158,0.381,0.3955,0.6023,0.6583,0.6247,0.71
28,5.08,11.69,10,31,6.03,3.9,7.1,5.4,25.2,0.673,0.5563,0.5435,1,0,0.4346,3,1,0,0,0,0,0,1,0,1,0,0.4483,0.689,0.6921,0.4737,0.369,0.2817,0.4318,0.4996,0.4872,0.2296
28,2.17,6.56,1,20,6.68,5.8,8.39,6.93,56.6,0.2939,0.6933,0.7678,0,0,0.3308,1,1,0,0,0,1,0,0,1,0,0,0.4483,0.2695,0.3257,0.0,0.2381,0.403,0.6477,0.7222,0.6717,0.7039
26,2.08,3.51,3,3,6.65,5.1,8.65,6.51,43.7,0.2327,0.7254,0.7109,0,0,0.5926,2,1,0,0,0,0,0,1,0,0,1,0.3793,0.2566,0.1079,0.1053,0.0357,0.3974,0.5682,0.767,0.6211,0.5091
17,4.4,8.54,12,50,6.5,4.8,8.05,4.86,32.5,0.5767,0.5405,0.5859,1,0,0.5152,3,1,0,0,0,1,0,0,1,0,0,0.069,0.591,0.4671,0.5789,0.5952,0.3694,0.5341,0.6635,0.422,0.3399
24,4.85,9.07,14,45,6.91,1.1,8.0,6.11,37.7,0.6348,0.4273,0.65,1,0,0.5347,2,0,0,1,0,0,0,1,0,1,0,0.3103,0.6559,0.505,0.6842,0.5357,0.4459,0.1136,0.6549,0.5728,0.4184
31,3.05,10.27,6,17,8.03,4.9,8.73,6.1,44.0,0.4853,0.7164,0.7,1,0,0.297,2,0,1,0,0,1,0,0,0,0,1,0.5517,0.3964,0.5907,0.2632,0.2024,0.6549,0.5455,0.7808,0.5716,0.5136
32,3.36,8.11,7,29,7.95,4.6,6.6,5.09,41.8,0.4584,0.659,0.5802,1,0,0.4143,2,0,1,0,0,0,0,1,1,0,0,0.5862,0.4411,0.4364,0.3158,0.3452,0.6399,0.5114,0.4133,0.4498,0.4804
22,3.55,9.34,10,52,7.67,6.7,7.68,5.82,35.3,0.5297,0.6495,0.6188,1,0,0.3801,2,1,0,0,0,0,0,1,1,0,0,0.2414,0.4685,0.5243,0.4737,0.619,0.5877,0.75,0.5997,0.5378,0.3822
28,3.39,9.12,11,34,7.99,4.0,8.23,5.35,41.5,0.5254,0.6189,0.6455,1,0,0.3717,2,1,0,0,0,0,0,1,0,1,0,0.4483,0.4454,0.5086,0.5263,0.4048,0.6474,0.4432,0.6946,0.4812,0.4758
37,3.04,8.94,6,17,8.96,4.5,8.34,5.48,42.3,0.4515,0.7337,0.6572,1,0,0.34,1,1,0,0,0,0,0,1,0,1,0,0.7586,0.395,0.4957,0.2632,0.2024,0.8284,0.5,0.7135,0.4968,0.4879
28,4.14,10.0,12,36,7.13,6.0,7.87,6.65,40.2,0.5988,0.66,0.6749,1,0,0.414,1,1,0,0,0,0,0,1,1,0,0,0.4483,0.5535,0.5714,0.5789,0.4286,0.4869,0.6705,0.6324,0.638,0.4562
24,4.14,9.94,7,22,6.91,4.4,6.82,4.42,32.7,0.5473,0.6392,0.5277,1,0,0.4165,3,1,0,0,0,0,1,0,1,0,0,0.3103,0.5535,0.5671,0.3158,0.2619,0.4459,0.4886,0.4513,0.369,0.3429
35,1.92,7.25,6,33,8.16,5.0,8.45,6.12,43.9,0.3474,0.6678,0.6905,0,0,0.2648,1,1,0,0,0,0,1,0,0,0,1,0.6897,0.2335,0.375,0.2632,0.3929,0.6791,0.5568,0.7325,0.574,0.5121
29,3.59,9.42,13,32,7.57,5.8,7.89,5.94,41.1,0.5639,0.682,0.6534,1,0,0.3811,2,1,0,0,0,1,0,0,0,1,0,0.4828,0.4742,0.53,0.6316,0.381,0.569,0.6477,0.6359,0.5523,0.4698
16,5.29,10.7,13,58,5.62,4.5,6.93,5.33,33.6,0.6899,0.4689,0.5681,1,1,0.4944,3,0,1,0,0,0,0,1,1,0,0,0.0345,0.7193,0.6214,0.6316,0.6905,0.2052,0.5,0.4702,0.4787,0.3565
30,2.72,9.76,7,34,7.4,4.1,7.76,5.28,39.3,0.4643,0.602,0.6178,1,0,0.2787,2,0,1,0,0,0,0,1,0,1,0,0.5172,0.3488,0.5543,0.3158,0.4048,0.5373,0.4545,0.6135,0.4727,0.4426
27,3.71,9.97,10,33,7.05,4.5,8.33,5.76,24.8,0.5543,0.6089,0.5981,1,0,0.3721,3,1,0,0,0,0,0,1,1,0,0,0.4138,0.4915,0.5693,0.4737,0.3929,0.472,0.5,0.7118,0.5306,0.2236
24,3.82,7.22,8,35,7.81,5.9,6.73,3.44,24.7,0.4716,0.6837,0.4575,0,0,0.5291,3,0,1,0,0,0,0,1,1,0,0,0.3103,0.5074,0.3729,0.3684,0.4167,0.6138,0.6591,0.4357,0.2508,0.2221
17,4.88,11.96,10,34,6.57,2.5,7.39,4.5,23.6,0.6687,0.5096,0.5148,1,0,0.408,3,0,1,0,0,0,0,1,0,1,0,0.069,0.6602,0.7114,0.4737,0.4048,0.3825,0.2727,0.5496,0.3786,0.2054
26,4.11,12.23,11,22,6.05,4.3,6.66,4.3,36.3,0.6429,0.6049,0.532,1,0,0.3361,3,1,0,0,0,0,0,1,0,1,0,0.3793,0.5492,0.7307,0.5263,0.2619,0.2854,0.4773,0.4236,0.3545,0.3973
17,5.03,12.27,15,60,6.61,3.3,6.34,6.19,46.9,0.7347,0.4496,0.631,1,0,0.4099,3,0,1,0,0,0,0,1,0,1,0,0.069,0.6818,0.7336,0.7368,0.7143,0.3899,0.3636,0.3684,0.5825,0.5574
29,2.04,4.1,5,35,7.66,5.1,8.8,5.17,29.5,0.2652,0.6469,0.6116,0,0,0.4976,3,0,1,0,0,0,0,1,0,0,1,0.4828,0.2508,0.15,0.2105,0.4167,0.5858,0.5682,0.7929,0.4594,0.2946
35,3.73,8.66,9,58,6.76,3.5,7.5,3.77,42.6,0.5126,0.47,0.5669,1,0,0.4307,3,0,1,0,0,0,1,0,0,1,0,0.6897,0.4944,0.4757,0.4211,0.6905,0.4179,0.3864,0.5686,0.2906,0.4924
19,3.06,7.84,9,38,7.08,5.9,7.34,4.01,30.7,0.4551,0.6471,0.5232,0,0,0.3903,3,0,1,0,0,0,1,0,0,1,0,0.1379,0.3978,0.4171,0.4211,0.4524,0.4776,0.6591,0.541,0.3195,0.3127
21,4.24,10.08,13,56,6.09,4.9,7.32,4.66,30.4,0.6163,0.5084,0.5449,1,0,0.4206,3,0,1,0,0,0,1,0,0,1,0,0.2069,0.5679,0.5771,0.6316,0.6667,0.2929,0.5455,0.5375,0.3979,0.3082
28,4.29,9.46,11,33,6.83,3.7,8.15,6.59,40.7,0.5836,0.5696,0.6845,1,0,0.4535,2,0,1,0,0,0,0,1,0,1,0,0.4483,0.5751,0.5329,0.5263,0.3929,0.431,0.4091,0.6808,0.6307,0.4637
44,2.37,9.09,9,46,6.33,6.1,8.38,4.99,27.6,0.4482,0.5998,0.5829,1,0,0.2607,3,1,0,0,0,0,0,1,0,0,1,1.0,0.2984,0.5064,0.4211,0.5476,0.3377,0.6818,0.7204,0.4377,0.2659
17,5.08,12.76,11,45,6.67,4.4,6.28,4.59,31.0,0.7098,0.5486,0.5083,1,0,0.3981,3,1,0,0,0,1,0,0,0,1,0,0.069,0.689,0.7686,0.5263,0.5357,0.4011,0.4886,0.3581,0.3895,0.3172
16,5.7,14.88,16,55,6.35,0.10000000000000009,5.79,2.84,16.1,0.847,0.3325,0.369,1,0,0.3831,3,0,1,0,0,0,1,0,1,0,0,0.0345,0.7784,0.92,0.7895,0.6548,0.3414,0.0,0.2735,0.1784,0.0921
21,5.52,14.14,13,45,4.68,0.8,5.91,2.72,10.6,0.7886,0.3365,0.3472,1,1,0.3904,3,1,0,0,0,0,1,0,0,1,0,0.2069,0.7524,0.8671,0.6316,0.5357,0.0299,0.0795,0.2942,0.1639,0.0091
37,1.73,4.81,5,9,8.51,6.2,8.45,5.46,60.0,0.2659,0.8131,0.73,0,0,0.3597,1,0,1,0,0,0,0,1,0,0,1,0.7586,0.2061,0.2007,0.2105,0.1071,0.7444,0.6932,0.7325,0.4944,0.7553
25,2.72,9.17,5,12,8.78,3.7,9.07,7.82,76.2,0.4296,0.7137,0.901,1,0,0.2966,1,0,1,0,0,0,1,0,1,0,0,0.3448,0.3488,0.5121,0.2105,0.1429,0.7948,0.4091,0.8395,0.7791,1.0
21,4.76,13.2,12,42,6.72,0.4,7.86,6.04,31.2,0.7131,0.4038,0.617,1,0,0.3606,3,0,1,0,0,0,1,0,1,0,0,0.2069,0.6429,0.8,0.5789,0.5,0.4104,0.0341,0.6307,0.5644,0.3202
18,4.72,11.22,15,55,7.08,6.2,6.14,3.92,29.0,0.6914,0.5982,0.4712,1,0,0.4207,3,1,0,0,0,0,1,0,0,1,0,0.1034,0.6371,0.6586,0.7368,0.6548,0.4776,0.6932,0.3339,0.3087,0.287
17,4.95,12.11,12,51,5.45,4.5,8.12,5.61,38.7,0.6963,0.4879,0.64,1,1,0.4088,3,0,1,0,0,0,0,1,1,0,0,0.069,0.6703,0.7221,0.5789,0.6071,0.1735,0.5,0.6756,0.5125,0.4335
32,2.56,6.79,8,29,6.1,5.5,7.65,4.67,28.4,0.3912,0.6288,0.5489,0,0,0.377,3,1,0,0,0,0,0,1,1,0,0,0.5862,0.3258,0.3421,0.3684,0.3452,0.2948,0.6136,0.5945,0.3991,0.2779
18,5.75,13.05,13,65,6.66,3.1,5.32,2.79,19.3,0.774,0.4257,0.3634,1,0,0.4406,3,1,0,0,0,0,0,1,0,1,0,0.1034,0.7856,0.7893,0.6316,0.7738,0.3993,0.3409,0.1924,0.1723,0.1405
33,3.07,8.26,9,23,6.4,5.3,7.94,5.82,41.9,0.4662,0.653,0.6539,1,0,0.3717,2,1,0,0,0,0,1,0,0,0,1,0.6207,0.3993,0.4471,0.4211,0.2738,0.3507,0.5909,0.6445,0.5378,0.4819
22,2.9,6.23,9,37,7.81,3.7,7.5,5.98,58.2,0.406,0.59,0.7085,0,0,0.4655,1,1,0,0,0,0,0,1,0,0,1,0.2414,0.3748,0.3021,0.4211,0.4405,0.6138,0.4091,0.5686,0.5571,0.7281
27,3.4,12.77,10,26,7.22,1.1,8.93,7.88,54.7,0.6072,0.5062,0.8137,1,0,0.2662,2,1,0,0,0,0,1,0,0,1,0,0.4138,0.4468,0.7693,0.4737,0.3095,0.5037,0.1136,0.8154,0.7863,0.6752
23,4.1,11.33,8,28,7.13,4.4,8.21,6.17,32.8,0.5898,0.6256,0.6402,1,0,0.3619,1,0,1,0,0,0,0,1,1,0,0,0.2759,0.5477,0.6664,0.3684,0.3333,0.4869,0.4886,0.6911,0.5801,0.3444
15,5.44,10.4,16,62,5.9,2.9,5.85,3.66,38.8,0.7207,0.4016,0.4902,1,1,0.5231,3,0,0,0,1,0,0,1,0,1,0,0.0,0.7409,0.6,0.7895,0.7381,0.2575,0.3182,0.2839,0.2773,0.435
19,4.02,8.39,10,52,7.02,0.10000000000000009,7.18,4.58,22.1,0.5319,0.3669,0.5044,1,0,0.4791,3,1,0,0,0,0,1,0,0,1,0,0.1379,0.5362,0.4564,0.4737,0.619,0.4664,0.0,0.5134,0.3883,0.1828
27,2.64,4.4,5,32,8.6,5.0,8.62,7.63,70.5,0.3059,0.687,0.856,0,0,0.6,1,1,0,0,0,0,1,0,1,0,0,0.4138,0.3373,0.1714,0.2105,0.381,0.7612,0.5568,0.7619,0.7562,0.9139
24,3.15,10.89,10,31,5.83,4.6,7.19,5.53,31.6,0.5463,0.5767,0.5766,1,1,0.2893,3,1,0,0,0,0,1,0,0,1,0,0.3103,0.4108,0.635,0.4737,0.369,0.2444,0.5114,0.5151,0.5029,0.3263
18,5.06,13.28,12,28,4.53,5.1,6.31,5.07,42.4,0.7317,0.561,0.5716,1,1,0.381,3,1,0,0,0,0,1,0,0,1,0,0.1034,0.6861,0.8057,0.5789,0.3333,0.0019,0.5682,0.3632,0.4474,0.4894
23,3.53,10.58,6,39,6.75,4.1,8.05,6.13,41.1,0.5196,0.5611,0.6659,1,0,0.3336,3,0,1,0,0,0,1,0,0,0,1,0.2759,0.4656,0.6129,0.2632,0.4643,0.416,0.4545,0.6635,0.5752,0.4698
16,4.74,10.48,14,65,6.44,5.3,7.95,2.38,15.9,0.664,0.5044,0.4272,1,0,0.4523,3,1,0,0,0,0,1,0,0,1,0,0.0345,0.64,0.6057,0.6842,0.7738,0.3582,0.5909,0.6462,0.1229,0.0891
29,4.24,9.12,11,44,7.84,5.2,7.85,6.4,48.0,0.5723,0.6251,0.6958,1,0,0.4649,2,0,1,0,0,0,0,1,1,0,0,0.4828,0.5679,0.5086,0.5263,0.5238,0.6194,0.5795,0.629,0.6078,0.574
38,0.47,4.78,1,0,7.69,6.0,9.0,6.62,47.8,0.1555,0.8084,0.7433,0,0,0.0983,1,1,0,0,0,0,1,0,0,0,1,0.7931,0.0245,0.1986,0.0,0.0,0.5914,0.6705,0.8274,0.6343,0.571
27,3.01,9.8,8,30,7.87,4.1,8.36,6.93,53.6,0.4914,0.6329,0.7549,1,0,0.3071,2,0,1,0,0,0,1,0,0,1,0,0.4138,0.3906,0.5571,0.3684,0.3571,0.625,0.4545,0.717,0.6717,0.6586
30,3.29,7.64,9,29,8.8,3.7,8.63,7.18,49.8,0.4628,0.6537,0.7585,0,0,0.4306,2,0,1,0,0,0,0,1,1,0,0,0.5172,0.431,0.4029,0.4211,0.3452,0.7985,0.4091,0.7636,0.7019,0.6012
21,3.53,10.87,8,33,7.06,5.3,6.37,2.37,16.2,0.5468,0.6407,0.3727,1,0,0.3247,3,1,0,0,0,0,0,1,1,0,0,0.2069,0.4656,0.6336,0.3684,0.3929,0.4739,0.5909,0.3736,0.1217,0.0937
33,2.26,6.11,6,43,8.16,7.1,9.69,7.06,62.0,0.3377,0.7147,0.8393,0,0,0.3699,1,0,0,1,0,1,0,0,1,0,0,0.6207,0.2825,0.2936,0.2632,0.5119,0.6791,0.7955,0.9465,0.6874,0.7855
24,4.11,8.63,8,26,5.27,3.1,6.73,5.22,44.4,0.5229,0.5157,0.5997,1,1,0.4762,3,0,1,0,0,0,1,0,1,0,0,0.3103,0.5492,0.4736,0.3684,0.3095,0.1399,0.3409,0.4357,0.4655,0.5196
37,0.93,5.74,4,7,8.83,6.6,8.63,8.99,52.6,0.2349,0.8474,0.8352,0,0,0.162,1,1,0,0,0,0,1,0,0,0,1,0.7586,0.0908,0.2671,0.1579,0.0833,0.8041,0.7386,0.7636,0.9202,0.6435
19,4.49,12.84,10,42,5.96,2.0,6.01,1.59,10.0,0.6692,0.4398,0.3074,1,1,0.3497,2,0,0,1,0,1,0,0,0,1,0,0.1379,0.604,0.7743,0.4737,0.5,0.2687,0.2159,0.3115,0.0276,0.0
37,3.27,4.26,7,42,6.66,6.7,8.75,4.6,46.5,0.3572,0.6494,0.6561,0,0,0.7676,3,0,1,0,0,1,0,0,0,1,0,0.7586,0.4281,0.1614,0.3158,0.5,0.3993,0.75,0.7843,0.3907,0.5514
16,4.11,8.61,10,57,6.26,2.8,6.99,5.61,34.1,0.5424,0.4283,0.5823,1,0,0.4774,2,1,0,0,0,1,0,0,0,1,0,0.0345,0.5492,0.4721,0.4737,0.6786,0.3246,0.3068,0.4806,0.5125,0.364
42,1.27,4.95,3,12,8.15,4.0,10.0,7.46,67.6,0.2239,0.7032,0.8867,0,0,0.2566,1,0,0,0,1,0,1,0,0,0,1,0.931,0.1398,0.2107,0.1053,0.1429,0.6772,0.4432,1.0,0.7357,0.8701
37,3.06,6.52,7,37,6.89,8.0,8.2,6.03,46.6,0.4021,0.7265,0.6891,0,0,0.4693,2,0,0,1,0,0,1,0,1,0,0,0.7586,0.3978,0.3229,0.3158,0.4405,0.4422,0.8977,0.6894,0.5632,0.5529
40,2.3,5.22,7,29,6.93,5.4,8.13,6.75,42.0,0.3276,0.6543,0.6947,0,0,0.4406,2,0,0,0,1,0,0,1,1,0,0,0.8621,0.2883,0.23,0.3158,0.3452,0.4496,0.6023,0.6773,0.65,0.4834
16,4.76,12.18,14,60,6.82,4.5,5.02,3.68,23.2,0.7076,0.5043,0.4005,1,0,0.3908,3,1,0,0,0,0,0,1,0,0,1,0.0345,0.6429,0.7271,0.6842,0.7143,0.4291,0.5,0.1406,0.2797,0.1994
28,3.44,5.98,9,44,7.99,5.6,7.78,5.82,50.2,0.4296,0.6461,0.681,0,0,0.5753,2,0,1,0,0,0,0,1,0,0,1,0.4483,0.4526,0.2843,0.4211,0.5238,0.6474,0.625,0.6169,0.5378,0.6073
